temperature,dewpoint,wind_dir,wind_speed,pressure,precip_01h,precip_03h,precip_06h,precip_12h,precip_24h,date
46305,45633,0,0,0,18490,1281,3097,15,2058,2014-12-05
46121,45400,0,0,0,19319,1723,3595,16,2386,2014-12-06
45981,45259,0,0,0,18289,792,2802,15,2283,2014-12-07
46159,45461,0,0,0,18209,801,2572,13,2020,2014-12-08
46264,45540,0,0,0,18875,1296,3137,18,2218,2014-12-09
46021,45289,0,0,0,18819,1102,3011,12,2092,2014-12-10
46282,45522,0,0,0,18955,1175,2951,16,2054,2014-12-11
46111,45267,0,0,0,18401,1003,2884,14,2094,2014-12-12
45975,45028,0,0,0,18161,782,2668,14,2048,2014-12-13
45856,44849,0,0,0,18010,720,2430,13,1929,2014-12-14
45962,45088,0,0,0,18758,1211,2975,13,2112,2014-12-15
46188,45434,0,0,0,18850,1643,3513,11,2308,2014-12-16
46323,45532,0,0,0,18517,1499,3467,13,2338,2014-12-17
46411,45610,0,0,0,18733,1278,3274,13,2229,2014-12-18
46268,45491,0,0,0,18504,1017,2832,14,2089,2014-12-19
46225,45500,0,0,0,18458,1077,2881,16,2149,2014-12-20
46004,45271,0,0,0,18274,962,2737,14,2077,2014-12-21
45917,45148,0,0,0,19390,1558,3312,13,2145,2014-12-22
46138,45281,0,0,0,19723,2127,4094,12,1964,2014-12-23
46191,45327,0,0,0,20380,2126,4115,12,2587,2014-12-24
45634,44831,0,0,0,19241,1540,3719,15,2311,2014-12-25
45798,45134,0,0,0,17950,786,2525,14,2043,2014-12-26
45983,45313,0,0,0,18641,1236,3013,11,2122,2014-12-27
45893,45152,0,0,0,18889,1464,3404,13,2277,2014-12-28
46156,45512,0,0,0,18613,1257,3090,11,2211,2014-12-29
46270,45618,0,0,0,18019,972,2744,11,1994,2014-12-30
46106,45479,0,0,0,17858,957,2766,15,1958,2014-12-31
